timing_peak_knee,timing_peak_hip,timing_peak_shoulder,timing_peak_elbow,timing_peak_wrist,lag_knee_hip,lag_hip_shoulder,lag_shoulder_elbow,lag_elbow_wrist,timing_error_knee_hip,timing_error_hip_shoulder,timing_error_shoulder_elbow,timing_error_elbow_wrist,timing_error_total,power_peak_knee_magnitude,power_peak_hip_magnitude,power_peak_shoulder_magnitude,power_peak_elbow_magnitude,power_peak_wrist_magnitude,power_transfer_efficiency
136.0,142.0,147.0,103.0,101.0,6.0,5.0,-44.0,-2.0,2.0,2.5,46.5,3.5,54.5,1.1275786770985072,3.1614602051167164,0.411752128725582,3.754599976366558,4.194084287991671,3.719549130517363
139.0,212.0,151.0,188.0,212.0,73.0,-61.0,37.0,24.0,69.0,63.5,34.5,22.5,189.5,0.9661817936514943,2.655143083496189,0.43430289617404777,4.552055414775024,10.105248640963783,10.45895162521432
142.0,147.0,135.0,225.0,238.0,5.0,-12.0,90.0,13.0,1.0,14.5,87.5,11.5,114.5,0.8592906624012904,2.7210212983903235,0.4486090168597742,3.493054389501898,6.191930001344746,7.205862081686514
140.0,138.0,146.0,236.0,188.0,-2.0,8.0,90.0,-48.0,6.0,5.5,87.5,49.5,148.5,0.7398121246830448,2.2565335109650846,0.3261834850639417,4.913586828633557,11.398412233830646,15.407171433847518
209.0,194.0,208.0,200.0,214.0,-15.0,14.0,-8.0,14.0,19.0,11.5,10.5,12.5,53.5,0.7131285209608199,3.2319294562753944,0.37440172836487584,6.653053342565292,15.134955339251736,21.22332075410467
141.0,142.0,236.0,235.0,235.0,1.0,94.0,-1.0,0.0,3.0,91.5,3.5,1.5,99.5,0.9295821526940937,3.5537511942321225,0.6992095481574615,9.853744639638231,13.870861553763193,14.921609148328612
142.0,191.0,194.0,183.0,204.0,49.0,3.0,-11.0,21.0,45.0,0.5,13.5,19.5,78.5,1.2787171972137585,4.02486027685,0.6632550873649835,5.379857559500242,12.700982258137874,9.932596735081445
143.0,235.0,148.0,199.0,212.0,92.0,-87.0,51.0,13.0,88.0,89.5,48.5,11.5,237.5,0.8882860341366506,4.8366345616667035,0.45299977037412353,4.509203178067229,11.405552263535931,12.839954502517083
133.0,139.0,147.0,236.0,140.0,6.0,8.0,89.0,-96.0,2.0,5.5,86.5,97.5,191.5,0.9435451623875047,4.546074325511185,0.38608606553670594,3.908626736666356,3.6958740263226644,3.917008081490015
144.0,142.0,150.0,236.0,236.0,-2.0,8.0,86.0,0.0,6.0,5.5,83.5,1.5,96.5,0.6243278108321612,2.7646153409443475,0.37900994964770807,7.10677909677824,5.872501711396184,9.406119044366736
229.0,229.0,229.0,106.0,216.0,0.0,0.0,-123.0,110.0,4.0,2.5,125.5,108.5,240.5,11.667427689864384,85.65889317970881,6.5810656057996075,4.159507461557646,11.581056245565073,0.9925972162335025
144.0,118.0,149.0,236.0,230.0,-26.0,31.0,87.0,-6.0,30.0,28.5,84.5,7.5,150.5,0.6301664027621386,1.835094890746105,0.45808142174181055,3.598775652703136,4.987834610959017,7.915107167085382
138.0,146.0,150.0,191.0,215.0,8.0,4.0,41.0,24.0,4.0,1.5,38.5,22.5,66.5,1.1841956400526517,3.4497848946954606,0.5224913769519707,4.657326027725316,10.443875303779139,8.819383343882928
233.0,236.0,147.0,105.0,103.0,3.0,-89.0,-42.0,-2.0,1.0,91.5,44.5,3.5,140.5,3.095905895529903,3.593891678227122,0.5856348864960113,4.649954943547952,5.404573223180353,1.7457162477011574
145.0,207.0,150.0,202.0,204.0,62.0,-57.0,52.0,2.0,58.0,59.5,49.5,0.5,167.5,0.819978949870151,3.6368096838827713,0.42008194170099034,5.135081751817265,8.834688006986731,10.774286350138333
141.0,140.0,236.0,236.0,236.0,-1.0,96.0,0.0,0.0,5.0,93.5,2.5,1.5,102.5,0.7759783546148606,2.665357496228515,0.46267876316923573,6.787361703909917,10.28366212140042,13.252511568450236
142.0,141.0,235.0,236.0,236.0,-1.0,94.0,1.0,0.0,5.0,91.5,1.5,1.5,99.5,0.9373572885048567,2.7713052406966567,0.2772310037086702,7.275543258219685,5.633454915658486,6.00993344239548
235.0,235.0,235.0,178.0,203.0,0.0,0.0,-57.0,25.0,4.0,2.5,59.5,23.5,89.5,14.954959804126208,66.41390734524681,6.657980976214268,5.379625809219004,10.467076299870847,0.6999066822622209
137.0,146.0,236.0,108.0,197.0,9.0,90.0,-128.0,89.0,5.0,87.5,130.5,87.5,310.5,1.2185295127413518,4.22367482620742,0.9565474591659525,5.45580041892654,11.073693430156155,9.08775151883144
145.0,125.0,35.0,188.0,212.0,-20.0,-90.0,153.0,24.0,24.0,92.5,150.5,22.5,289.5,0.611558136212325,1.7807486821486425,0.40675258814294507,3.7331191046163092,12.439383643766668,20.340476084268587
145.0,145.0,150.0,236.0,236.0,0.0,5.0,86.0,0.0,4.0,2.5,83.5,1.5,91.5,1.0043547400090818,3.9911106094140347,0.5065233604667811,7.161213345016587,5.7396405842244125,5.714754314966953
229.0,229.0,229.0,229.0,234.0,0.0,0.0,0.0,5.0,4.0,2.5,2.5,3.5,12.5,94.58989961919312,594.2006012276545,56.923964810939054,48.71208822697692,48.413241334545,0.5118225257606842
143.0,142.0,148.0,236.0,186.0,-1.0,6.0,88.0,-50.0,5.0,3.5,85.5,51.5,145.5,1.1550731602822717,4.850689991046057,0.39813969871144966,5.0262649575918426,4.89587957986286,4.238588297442931
