wrist_rel_shoulder_f125,arm_extension_f125,elbow_angle_f125,arm_vertical_angle_f125,wrist_above_nose_f125,wrist_asymmetry_x_f125,wrist_asymmetry_y_f125,wrist_rel_shoulder_f140,arm_extension_f140,elbow_angle_f140,arm_vertical_angle_f140,wrist_above_nose_f140,wrist_asymmetry_x_f140,wrist_asymmetry_y_f140,wrist_rel_shoulder_f155,arm_extension_f155,elbow_angle_f155,arm_vertical_angle_f155,wrist_above_nose_f155,wrist_asymmetry_x_f155,wrist_asymmetry_y_f155,wrist_vel_norm_v135,wrist_vel_y_ratio_v135,wrist_vel_z_ratio_v135,wrist_vel_norm_v145,wrist_vel_y_ratio_v145,wrist_vel_z_ratio_v145,wrist_vel_norm_v155,wrist_vel_y_ratio_v155,wrist_vel_z_ratio_v155,peak_vel_frame_ratio,peak_vel_normalized,kinetic_chain_delay,max_height_frame_ratio,player_mean_angle,player_mean_depth,player_mean_left_right
-0.79895914,0.6350873,78.087746,105.15435928950654,-1.3691428,-0.116432026,0.6310155,-0.50706244,0.74456406,95.94806,97.69558314084078,-1.9251208,-0.18936607,0.70277464,-0.10531778,0.9924391,165.89835,90.86290819283319,-2.6378012,-0.7273649,1.0651407,1.3228292,-0.025517825,0.9686868,3.3931198,0.012485926,0.75954515,0.42548323,0.9983603,-0.038641,0.9458333333333333,4.408364,0.37083333333333335,0.7375,44.384853,11.330428,-0.83885723
-0.884305,0.6405637,77.72116,107.77642882746909,-1.2735913,-0.021598822,0.61113805,-0.408598,0.7119314,90.30873,97.18824374696071,-2.2719626,-0.23298173,0.64927596,-0.24821119,0.98872894,162.76552,92.31701423038326,-2.5176263,-0.6314601,0.9232039,1.5842758,0.08056982,0.9388799,2.020139,-0.17055716,0.93120027,2.3312964,0.21985121,0.55548406,0.8541666666666666,7.296806,0.25,0.9958333333333333,44.384853,11.330428,-0.83885723
-0.6904786,0.6595149,81.865486,104.04540340051446,-1.7607051,-0.099895656,0.6114072,-0.40083325,0.7765062,101.76328,96.1010922385605,-2.6691294,-0.13008448,0.7112466,-0.20661663,0.99042636,164.12791,91.91964264478852,-2.8932195,-0.6847968,0.98974675,1.3994551,0.01280117,0.99142396,3.3770537,0.035899635,0.6842113,0.538832,0.3529053,0.0027128803,0.9458333333333333,5.094058,0.375,0.7541666666666667,44.384853,11.330428,-0.83885723
-0.5634819,0.6578117,81.731514,102.34883639585973,-2.1887069,-0.16577974,0.62467563,-0.43817288,0.8017915,106.5297,96.65761473702668,-2.6325188,-0.21878265,0.7072627,-0.21752447,0.9941955,167.64598,91.98896303369597,-2.5435517,-0.71634597,1.0595465,1.3341317,-0.06622534,0.99599546,3.3048027,0.03250412,0.5892644,0.47529596,0.11916438,0.021433856,0.95,5.11778,0.3875,0.9958333333333333,44.384853,11.330428,-0.83885723
-0.77972865,0.63613313,77.72132,105.88853894753612,-1.5155962,-0.051260058,0.6017297,-0.3525193,0.72442573,92.55689,96.11822230457861,-2.549757,-0.20034431,0.6834891,-0.12163431,0.9949032,168.4255,91.14770983754039,-3.5611367,-0.7728865,1.0441744,1.2997222,0.13722296,0.9482644,3.0881407,-0.049829043,0.74379706,0.9249076,0.3999262,0.4540553,0.8541666666666666,7.4699707,0.275,0.9958333333333333,44.384853,11.330428,-0.83885723
-0.6650236,0.65626466,81.37688,103.07607873193447,-1.667633,-0.16009746,0.62648076,-0.45833334,0.7461635,96.36569,97.03606739963661,-2.1211998,-0.18718816,0.67890227,-0.24386492,0.98659736,161.21445,92.14376510005509,-2.3960938,-0.7602709,0.9969786,1.1738976,-0.07336841,0.9918235,3.2270417,-0.011937397,0.6176328,0.38804838,0.9229816,-0.36174724,0.9666666666666667,5.9451804,0.39166666666666666,0.9958333333333333,44.384853,11.330428,-0.83885723
-0.6837654,0.61657166,75.33506,103.67647990888365,-1.5904166,-0.14806063,0.6300915,-0.4947365,0.75227696,97.41416,97.26305777669728,-1.841877,-0.19956745,0.6844428,-0.23889215,0.9952676,168.84488,92.05741689190782,-2.371255,-0.7322574,1.031846,1.2483797,0.004286165,0.9666154,3.5379179,0.003488841,0.6968702,0.49795684,0.34495276,-0.21628232,0.8458333333333333,7.4561424,0.275,0.9958333333333333,44.384853,11.330428,-0.83885723
-0.651182,0.65431273,81.013405,103.37563563806373,-1.8189039,-0.14179708,0.6346671,-0.40195614,0.7449332,96.19648,96.4684262665255,-2.456814,-0.15826146,0.68580663,-0.21564883,0.9954381,169.04988,91.90891007502894,-2.6004562,-0.7652634,1.0213739,1.042206,-0.11459778,0.99125344,3.1710272,0.0022613779,0.6481888,0.35451972,0.45009452,-0.29724425,0.8458333333333333,7.454956,-0.09166666666666666,0.9625,44.384853,11.330428,-0.83885723
-0.6041019,0.6478837,80.23459,102.15665656269574,-1.810324,-0.13309169,0.63719213,-0.4210842,0.7757056,101.546974,96.35587929108127,-2.428584,-0.19000281,0.69550633,0.058293596,0.9952208,168.79228,89.4855544021509,-3.557329,-0.70908684,1.082129,1.1995271,-0.08627618,0.99325955,3.1834955,0.08117627,0.66873586,0.49801654,0.46125072,-0.19175285,0.44583333333333336,3.6671538,-0.125,0.7958333333333333,44.384853,11.330428,-0.83885723
-0.8048229,0.63147223,77.34334,106.39643624205472,-1.4207007,-0.055989973,0.61547333,-0.3951007,0.7297568,93.44528,96.72154217753628,-2.4748185,-0.19881734,0.6771625,-0.17157453,0.9949109,168.43414,91.61202197729206,-3.4900017,-0.71927136,1.0366392,1.3219131,0.26720214,0.8635734,3.1578918,-0.05276443,0.73898774,0.9035754,0.5275082,0.42696142,0.4708333333333333,3.787085,-0.10833333333333334,0.8375,44.384853,11.330428,-0.83885723
-0.8215394,0.62898177,77.31123,105.28917906147805,-1.2776937,-0.08130626,0.6627206,-0.4730094,0.73092407,93.678,97.08049931426109,-1.8373343,-0.18679838,0.7013956,-0.2515934,0.99714833,171.3438,92.0697382912061,-2.0002491,-0.75436485,1.0203806,1.2588423,-0.012424263,0.9789304,2.9881735,-0.06398958,0.6785451,0.98244023,0.29782912,0.3778924,0.9791666666666666,10.815563,0.008333333333333333,0.9958333333333333,44.384853,11.330428,-0.83885723
