feature,train_mean,test_mean,abs_mean_diff,train_std,test_std,std_ratio,mean_shift_z,wasserstein,train_n,test_n,drift_score,delta_mse_mean_all,stability_adjusted
right_wrist_z_max,7.194528695811396,7.4030105128487405,0.2131068610445756,0.04732959198914812,0.9890464256314688,17.842014179481296,3.838434319988088,3.9048505342234745,345,113,4.228919373410435,5.003998385455198e-05,9.569851872073258e-06
right_elbow_z_max,6.430266572427059,6.545097414207728,0.11860170043474709,0.037651035193929316,0.5564440649135931,17.10329703141892,3.671317106773783,3.7622301265986295,345,113,4.047540119433646,-6.581517522244062e-06,-1.3039059356664478e-06
right_elbow_z_range,2.702359075131624,2.819546637246285,0.12887532121754444,0.07022839232986018,0.585703644445202,10.504690944623063,2.3068983196754367,2.4182898176381857,345,113,2.5487273014392553,1.4334450440593975e-05,4.039321487109015e-06
right_elbow_vel_max,9.36702051024506,14.324418794208997,5.614452345250468,3.4665023505415764,25.370565203813253,8.967303122060502,1.9285539884396836,1.9926248939448046,345,113,2.127816477834164,-1.0310261675125068e-05,-3.2963128585678216e-06
right_elbow_vel_range,9.297159254378167,14.257948732561843,5.61210314633545,3.469049033951111,25.365459153083687,8.967177686943417,1.9262932717692682,1.9964227569495967,345,113,2.125935547464228,-1.1283534860273281e-05,-3.609650515483767e-06
right_wrist_vel_range,12.536041059355805,22.999131549664146,10.951462827430179,4.226651145509508,51.31829836694099,7.769230115006149,1.667659907683993,1.7588603065617772,345,113,1.8435459383401709,2.3433378594146658e-05,8.240900306265194e-06
right_wrist_vel_max,12.655275326880856,23.104735834331628,10.94422484152673,4.227028689061364,51.328291464394205,7.766366865879263,1.6617980368742005,1.7478889588966267,345,113,1.836586932763863,2.361130745615386e-05,8.323844118236804e-06
right_elbow_vel_std,2.1593610162320345,2.5657788764780354,0.43769302110208463,0.3270948622893952,2.052605479936357,6.6097026396139675,1.391379258560288,1.512483580279377,345,113,1.5426276165882258,1.3817751979810018e-05,5.43443793721988e-06
right_wrist_z_range,3.9236567953358525,4.127780161642846,0.22086281489917112,0.13623892122213666,1.0213498607524982,6.243311833283862,1.3349415426403608,1.5240333456255202,345,113,1.4873448772029128,6.738152330429981e-06,2.708973891070231e-06
right_wrist_vel_std,3.0518872109012327,3.8594734136267634,0.8075862027255303,0.4972627896978027,3.817768213531928,4.767006793123753,1.0282390843416764,1.1466416479771462,345,113,1.1429032491393911,0.0001521642639250183,7.100846199478619e-05
