target,feature,correlation,p_value,significant
true_angle,release_height,-0.4595732319298923,1.977656400449003e-19,True
true_angle,peak_height,-0.5119578789278703,1.917575878553708e-24,True
true_angle,release_y_offset,0.2407003827702407,6.1481269231799394e-06,True
true_angle,release_x_dist,-0.21980203720835909,3.8168023346880396e-05,True
true_angle,vx_at_peak_vz,0.12684127407267298,0.01842577944360408,True
true_angle,vy_at_peak_vz,-0.05873040364563794,0.2766617544766234,False
true_angle,vz_at_peak_vz,0.7817442110840095,2.470147274260236e-72,True
true_angle,speed_at_peak_vz,0.7528734210110981,2.7874361646943504e-64,True
true_angle,vx_at_peak_forward,-0.20944411176384592,8.866182091672504e-05,True
true_angle,vy_at_peak_forward,0.029903712274994287,0.5798904132014943,False
true_angle,vz_at_peak_forward,0.3231945706586394,7.894606859690749e-10,True
true_angle,speed_at_peak_forward,0.629152099226842,2.0036600332232997e-39,True
true_angle,vx_at_peak_speed,0.01145129854710088,0.8321589576104267,False
true_angle,vy_at_peak_speed,-0.05298901016661655,0.32642274941867444,False
true_angle,vz_at_peak_speed,0.3582804724417542,6.9022554789733176e-12,True
true_angle,release_angle_ratio,0.25038140166258865,2.4897522171353483e-06,True
true_angle,lateral_aim_ratio,-0.06364376344231021,0.23838390794163436,False
true_angle,max_vx,-0.20944411176384592,8.866182091672504e-05,True
true_angle,max_vy,0.1836850295523155,0.0006066283411717655,True
true_angle,max_vz,0.7817442110840095,2.470147274260236e-72,True
true_angle,max_speed,0.41332731679636947,1.1436578166978152e-15,True
true_angle,peak_vz_frame,-0.10939012951383938,0.04230017796115787,True
true_angle,peak_forward_frame,0.213001985552297,6.667920628142475e-05,True
true_angle,frame_diff_vz_forward,-0.222938887523626,2.933288872425608e-05,True
true_angle,max_az,0.41072231339951093,1.792807149830507e-15,True
true_angle,az_at_release,-0.0408492791715708,0.44946709408899754,False
true_angle,kinetic_proxy,0.4355083872475446,2.1159309479498046e-17,True
true_angle,angle_at_peak_vz,0.3354760826574129,1.607170342202765e-10,True
true_angle,angle_at_peak_forward,0.1653829872447596,0.002056466315038197,True
true_angle,finger_max_vz,0.7057067332020771,2.8282430976989376e-53,True
true_angle,finger_release_y,0.15567582617110498,0.0037465488099408437,True
true_angle,upper_arm_angle_z,-0.23119869689417935,1.4401439142747956e-05,True
true_angle,forearm_angle_z,0.11948200161067321,0.026474429061232013,True
true_depth,release_height,0.06679787610539761,0.2158661645727358,False
true_depth,peak_height,0.18438185653443773,0.0005777133350081617,True
true_depth,release_y_offset,-0.11020939228617113,0.04077060635036842,True
true_depth,release_x_dist,0.049857954460928416,0.35585932777148976,False
true_depth,vx_at_peak_vz,0.02083098005191493,0.6998255976611517,False
true_depth,vy_at_peak_vz,-0.10304374496839286,0.055863480026350325,False
true_depth,vz_at_peak_vz,-0.04874078170848792,0.36675374820077566,False
true_depth,speed_at_peak_vz,-0.04980027236753609,0.35641680629911376,False
true_depth,vx_at_peak_forward,0.06668810196527808,0.21662331317051464,False
true_depth,vy_at_peak_forward,-0.014133541567426435,0.7936458780662679,False
true_depth,vz_at_peak_forward,0.002587828901706224,0.9618019784009957,False
true_depth,speed_at_peak_forward,0.036663768432562985,0.4972924727739839,False
true_depth,vx_at_peak_speed,-0.1515193518400303,0.004795862235138491,True
true_depth,vy_at_peak_speed,0.014342862807776375,0.7906600088424616,False
true_depth,vz_at_peak_speed,-0.025307056857638358,0.6394794088421619,False
true_depth,release_angle_ratio,-0.12921150930701814,0.016334175976778057,True
true_depth,lateral_aim_ratio,-0.013512089200893435,0.802528202438916,False
true_depth,max_vx,0.06668810196527808,0.21662331317051464,False
true_depth,max_vy,-0.13451727726153365,0.012389356679517264,True
true_depth,max_vz,-0.04874078170848792,0.36675374820077566,False
true_depth,max_speed,-0.004477669327733878,0.9339568238709468,False
true_depth,peak_vz_frame,-0.08902140044358917,0.09878410089919377,False
true_depth,peak_forward_frame,0.026965429375045216,0.6176852327216834,False
true_depth,frame_diff_vz_forward,-0.054833417506184125,0.30984209747632785,False
true_depth,max_az,-0.09067211731466608,0.09266333677603497,False
true_depth,az_at_release,0.015345026640279856,0.7764076741960338,False
true_depth,kinetic_proxy,-0.01729645288705179,0.7488733123709277,False
true_depth,angle_at_peak_vz,0.015849146648720447,0.7692662063317601,False
true_depth,angle_at_peak_forward,0.018862202738518585,0.7270071623931028,False
true_depth,finger_max_vz,-0.030600367420457665,0.571090297711087,False
true_depth,finger_release_y,-0.12960614350066227,0.016006890292475227,True
true_depth,upper_arm_angle_z,-0.06123773586658125,0.25663630392000686,False
true_depth,forearm_angle_z,-0.12598206986093388,0.019239665928297164,True
true_lr,release_height,0.06864124495284483,0.20343426034957166,False
true_lr,peak_height,0.059049259368277,0.2740578685049668,False
true_lr,release_y_offset,0.05330272067987395,0.32356279820513756,False
true_lr,release_x_dist,0.05698002777231888,0.29125446764398255,False
true_lr,vx_at_peak_vz,-0.10134802351021419,0.06004424339919628,False
true_lr,vy_at_peak_vz,-0.03193826579820461,0.5543697788672943,False
true_lr,vz_at_peak_vz,-0.01795913248386096,0.7395930806975975,False
true_lr,speed_at_peak_vz,-0.005374718522388328,0.920765603895296,False
true_lr,vx_at_peak_forward,0.012950004704834386,0.8105839615118318,False
true_lr,vy_at_peak_forward,0.00820638576599261,0.8792845693478544,False
true_lr,vz_at_peak_forward,-0.045869808538700055,0.3956871594439761,False
true_lr,speed_at_peak_forward,-0.012433477041343868,0.8180044774728507,False
true_lr,vx_at_peak_speed,0.02026396912925202,0.7076165593290997,False
true_lr,vy_at_peak_speed,0.05343227351580621,0.32238648353886146,False
true_lr,vz_at_peak_speed,-0.01683625488554251,0.7553394354551992,False
true_lr,release_angle_ratio,-0.14234589642834936,0.008100342443683841,True
true_lr,lateral_aim_ratio,-0.1010957386351574,0.06068777719470147,False
true_lr,max_vx,0.012950004704834386,0.8105839615118318,False
true_lr,max_vy,0.17625061807134984,0.0010104454017056965,True
true_lr,max_vz,-0.01795913248386096,0.7395930806975975,False
true_lr,max_speed,-0.01634781608307323,0.7622210718664783,False
true_lr,peak_vz_frame,-0.057226637394738086,0.2891678941975897,False
true_lr,peak_forward_frame,-0.009631067613445829,0.8585313220259083,False
true_lr,frame_diff_vz_forward,-0.011927798023121064,0.8252849064559741,False
true_lr,max_az,0.04497326412465737,0.404996418535719,False
true_lr,az_at_release,0.05537866745842232,0.305048442219971,False
true_lr,kinetic_proxy,-0.01655844467266189,0.7592511846884294,False
true_lr,angle_at_peak_vz,-0.09301608400691926,0.08449706555927552,False
true_lr,angle_at_peak_forward,-0.04698278664427408,0.38431137212218747,False
true_lr,finger_max_vz,-0.0513774395934473,0.3413715565711206,False
true_lr,finger_release_y,0.13780005433195464,0.010393089428184208,True
true_lr,upper_arm_angle_z,0.045546632585809724,0.3990279181089889,False
true_lr,forearm_angle_z,0.0025419289780445505,0.9624789888976049,False
