id,acceleration_at_release,arm_extension_angle,arm_plane_angle,azimuth_angle,elbow_alignment,elbow_height_relative,elevation_angle,forward_position,guide_hand_vx,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,lateral_offset,left_wrist_z_energy,left_wrist_z_max,left_wrist_z_mean,left_wrist_z_min,left_wrist_z_q25,left_wrist_z_q75,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_max,mid_hip_z_mean,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_q75,mid_hip_z_range,mid_hip_z_std,neck_z_energy,neck_z_max,neck_z_mean,neck_z_min,neck_z_q25,neck_z_q75,neck_z_range,neck_z_std,participant_1,participant_2,participant_3,participant_4,participant_5,participant_id,peak_velocity_magnitude,release_frame,release_height_relative,release_time,right_elbow_vel_load_mean,right_elbow_vel_max,right_elbow_vel_max_time,right_elbow_vel_mean,right_elbow_vel_min,right_elbow_vel_prep_mean,right_elbow_vel_prop_mean,right_elbow_vel_range,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_energy,right_elbow_z_max,right_elbow_z_mean,right_elbow_z_min,right_elbow_z_q25,right_elbow_z_q75,right_elbow_z_range,right_elbow_z_std,right_hip_z_energy,right_hip_z_max,right_hip_z_mean,right_hip_z_min,right_hip_z_q25,right_hip_z_q75,right_hip_z_range,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_max_time,right_knee_vel_mean,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_energy,right_knee_z_max,right_knee_z_mean,right_knee_z_min,right_knee_z_q25,right_knee_z_q75,right_knee_z_range,right_knee_z_std,right_shoulder_z_energy,right_shoulder_z_max,right_shoulder_z_mean,right_shoulder_z_min,right_shoulder_z_q25,right_shoulder_z_q75,right_shoulder_z_range,right_shoulder_z_std,right_wrist_vel_load_mean,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_range,right_wrist_vel_release_mean,right_wrist_vel_std,right_wrist_z_energy,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_min,right_wrist_z_q25,right_wrist_z_q75,right_wrist_z_range,right_wrist_z_std,set_point_height,set_position_stability,shoulder_elevation_rate,shoulder_rotation,time_to_peak_velocity,velocity_magnitude_release,wrist_snap_angle,wrist_vx_release,wrist_vy_release,wrist_vz_release,wrist_x_release,wrist_y_release,wrist_z_release,target
41934092-f36a-4da2-bfe5-4d68a15e78fc,61.291252,93.93823,-90.70819,-90.70819,-0.34571838,-0.27834368,72.34947,-0.12133598,0.29691693,0.37661934,3.9542053,1750.6979,121.00614,293.6485,-1.1556625,4668.6187,6.6182165,4.2528553,2.5354161,3.2910962,4.675335,4.0828004,1.1686734,2424.9937,3.672648,3.1730545,2.747289,3.1288328,3.2288952,0.925359,0.18938395,4946.411,5.1878695,4.5303884,3.9668646,4.355031,4.611376,1.221005,0.2926182,0.0,0.0,0.0,1.0,0.0,4.0,13.375092,119.0,1.5987663,1.9833333,2.3407974,13.3109455,0.5,2.5014176,0.088313244,1.36161,4.1564198,13.222632,2.1468432,2.660207,4167.2812,5.943202,4.0846143,3.121712,3.6559339,4.0859594,2.82149,0.8243786,2433.0237,3.660474,3.178396,2.7524877,3.1265442,3.2588205,0.9079864,0.1881379,0.9219945,3.9316041,0.49583334,0.60655504,0.012382714,0.3682819,1.0027586,3.9192214,0.13318527,0.7009539,824.4675,2.2162614,1.8488861,1.5867963,1.8364557,1.8848639,0.6294651,0.13000596,4897.1626,5.1336617,4.5074515,3.8746276,4.3708954,4.586465,1.2590342,0.29618692,2.4053547,13.375092,0.49583334,3.8229332,0.18197024,2.7259123,4.940739,13.193121,5.2197266,3.514711,4570.188,6.5718503,4.204553,2.9273207,3.2759123,4.4612775,3.6445296,1.1679817,3.6070015,0.30087042,5.2942367,-78.929695,1.9833333,13.375092,171.3315,-4.0551567,-0.05012512,12.745441,18.46742,-24.675627,4.881143,-1.02
5110063a-f0d6-406f-9ac6-7f41fe4ebdd8,55.024128,148.26797,-3.3556318,-3.3556318,0.18894196,-0.8646643,-64.88931,0.26130867,1.2430285,0.4945717,4.159341,1520.4336,121.41198,20.525206,-0.48077965,4594.6895,6.503301,4.3230953,2.9586117,3.6822886,4.428707,3.5446894,0.97276384,2358.9036,3.6425183,3.1694577,2.771503,3.1441698,3.2216384,0.8710153,0.18794194,4903.0327,5.1506596,4.569976,4.034196,4.553546,4.613232,1.1164637,0.2616319,0.0,0.0,0.0,1.0,0.0,4.0,12.552494,230.0,-0.090652704,3.8333333,3.3020341,12.366779,0.9583333,2.3299963,0.06497012,0.6240589,3.9348292,12.301809,1.325073,2.7453275,4005.308,5.8950973,4.068037,3.1725826,3.708377,3.9266157,2.7225146,0.7535088,2354.365,3.6247764,3.1665812,2.7692168,3.1435063,3.2183912,0.8555596,0.184802,1.2020638,4.185078,0.9583333,0.6374066,0.0130512845,0.29170915,0.784476,4.1720266,0.21506517,0.8344362,804.20416,2.2126117,1.8492678,1.5834816,1.830887,1.8616409,0.6291301,0.13030213,4826.2305,5.098506,4.532787,3.9506607,4.497493,4.6043735,1.1478453,0.28064433,3.2502978,13.993509,0.9583333,3.375883,0.12910073,0.7008296,5.9217515,13.8644085,3.6698492,3.5709496,4532.3027,6.543693,4.2750635,2.99367,3.553346,4.393423,3.550023,1.0452968,3.7119002,0.6005247,5.4375167,-86.553894,3.8333333,12.552494,172.62173,-0.008268355,0.8722972,-10.305633,19.529001,-24.277641,3.1818333,3.94
5e9cf649-d33e-41a2-b533-6b19de714fc5,95.49602,127.741905,78.42079,78.42079,0.11664772,-0.6274822,-63.460472,0.3963108,1.1679267,0.5316124,3.8974855,1434.4839,122.79498,273.3577,-1.2365036,4777.6387,6.5891495,4.324583,3.0738006,3.5477738,4.7388625,3.515349,1.0976374,2426.0933,3.6628177,3.1741714,2.7949238,3.1463113,3.2335618,0.86789393,0.18264262,5026.704,5.18336,4.5684705,4.018624,4.523486,4.629935,1.1647363,0.271439,0.0,0.0,0.0,1.0,0.0,4.0,13.685958,182.0,0.7736182,3.0333333,1.7785391,12.7847805,0.5083333,2.3560188,0.06701491,1.2941089,4.3719964,12.717766,1.9794306,2.6311657,4164.4688,5.9163947,4.083432,3.231457,3.6227212,4.098094,2.6849377,0.8231243,2421.3325,3.654391,3.1712005,2.7975497,3.1436977,3.2319577,0.8568413,0.1799263,0.8285422,3.9671798,0.5083333,0.6036085,0.0044522756,0.27834055,1.1906912,3.9627275,0.11686008,0.7488194,823.6012,2.235081,1.8478429,1.6079983,1.8368326,1.8712144,0.6270827,0.13095139,4930.6104,5.1300025,4.5231347,3.9230928,4.4674416,4.613662,1.2069097,0.29233325,1.6801693,13.685958,0.7583333,3.4368637,0.07078882,1.9026455,5.019819,13.61517,5.144821,3.4451478,4617.947,6.5678654,4.2284627,2.893249,3.4193115,4.452773,3.6746163,1.1668547,3.7087352,0.2204524,5.238833,-79.32341,3.0333333,13.685958,163.43318,5.9906383,1.227436,-12.243818,18.439316,-24.178286,3.980253,0.57
c6f7022b-3bd9-40c7-a00b-27a1b2afa254,51.013992,101.736916,-100.03446,-100.03446,-0.3690796,-0.15104485,82.50027,-0.11835289,1.2391661,0.25263596,3.9526246,1577.7891,121.4567,281.40427,-1.1941586,4901.791,6.4487257,4.4076743,3.0528061,3.808247,4.754754,3.3959196,0.9982687,2442.2021,3.6322625,3.184177,2.7439892,3.1416175,3.236625,0.88827324,0.19198813,5052.962,5.1587477,4.5803976,3.984318,4.5623317,4.6318674,1.1744297,0.27196652,0.0,0.0,0.0,1.0,0.0,4.0,12.580276,121.0,1.7522917,2.0166667,1.9860551,12.218037,0.5083333,2.2594953,0.13387388,0.88642865,3.899079,12.084163,2.2664182,2.5426142,4297.136,5.881342,4.153267,3.1935594,3.703713,4.257552,2.6877825,0.8093869,2445.1953,3.623945,3.1862586,2.750626,3.1434982,3.2417693,0.8733189,0.18991813,0.975315,3.9554217,0.50416666,0.57942647,0.020922977,0.1303521,1.0951182,3.9344988,0.1169205,0.75114733,829.7911,2.1991863,1.8546226,1.5761074,1.846577,1.8723471,0.62307894,0.13355751,4969.342,5.1071615,4.540561,3.884518,4.530676,4.6289296,1.2226436,0.29815236,2.1280491,12.580276,0.50416666,3.2919226,0.17546144,0.9503683,4.6519194,12.404814,5.437353,3.477234,4905.851,6.5385056,4.383701,2.946029,3.6058676,4.617202,3.5924766,1.1064405,3.5969176,0.27313912,5.204701,-77.86765,2.0166667,12.580276,176.32117,-1.6168784,-0.28610227,12.472657,18.267775,-24.798433,5.0472836,1.28
18745318-119d-44f4-9a16-70ed791151f2,92.571396,148.85,84.94664,84.94664,0.15805435,-0.5837641,-46.72886,0.8098316,7.106666,0.40876198,3.7387488,1544.9033,121.789,287.79327,-1.1158962,4609.8423,6.513918,4.26393,2.9510846,3.5382047,4.360482,3.5628333,1.0132015,2428.335,3.597379,3.1760612,2.8139508,3.1358922,3.2375855,0.7834282,0.1752024,5010.207,5.132329,4.5613832,4.02428,4.484756,4.6244287,1.1080489,0.26390177,0.0,0.0,0.0,1.0,0.0,4.0,14.476421,169.0,0.5576558,2.8166666,3.159638,13.093901,0.475,2.6861181,0.086293235,1.0584533,4.0084357,13.007607,2.5179455,2.6838698,4144.746,5.89161,4.082265,3.2221384,3.65704,3.980156,2.6694717,0.7777468,2426.3804,3.582604,3.1749792,2.8175657,3.1364646,3.2368486,0.76503825,0.17154408,1.225083,3.8599243,0.475,0.8513955,0.02155991,0.1948087,0.6389196,3.8383644,1.3467708,0.9671051,818.84296,2.16459,1.8429282,1.580484,1.8307383,1.865823,0.58410585,0.12434324,4914.869,5.077697,4.5164633,3.9324524,4.421648,4.586547,1.1452444,0.28315762,3.1848114,14.476421,0.70416665,4.33272,0.073840655,1.652947,6.5778,14.40258,5.915321,3.851283,4675.636,6.53296,4.29232,2.9732072,3.6851635,4.331997,3.5597527,1.0284994,3.7272334,0.52531385,5.267758,-84.40681,2.8166666,14.476421,177.83452,9.884318,0.87404245,-10.5405445,18.794659,-23.733458,3.7551367,6.15
29bf7c58-e76f-4091-b24a-e7b85fc2d6fd,53.46146,103.30277,-94.704346,-94.704346,-0.36049843,-0.13811255,75.75536,-0.14561462,0.87238306,0.7469826,3.913121,1870.9661,123.18841,279.4249,-1.1895237,4893.211,6.6215935,4.391607,3.035673,3.9022846,4.7176332,3.5859206,1.0498418,2425.4548,3.632045,3.1741617,2.7593296,3.1638708,3.223456,0.8727155,0.1753863,5036.7505,5.1584525,4.5735836,3.9940386,4.552814,4.6298003,1.1644139,0.2622878,0.0,0.0,0.0,1.0,0.0,4.0,13.249898,120.0,1.7444477,2.0,2.4539254,12.98768,0.5,2.4759772,0.08846148,1.5902292,4.076402,12.899219,1.7833521,2.6062894,4171.336,5.92236,4.087942,3.1952665,3.6996703,4.0931587,2.7270935,0.81810546,2424.088,3.6182778,3.1734314,2.7655554,3.165494,3.227161,0.8527224,0.172335,1.0263851,3.6796372,0.5,0.76901066,0.023661627,0.93482834,0.9177421,3.6559756,0.19708705,0.69192,834.54626,2.1975677,1.8611598,1.6200429,1.8576297,1.8942759,0.5775248,0.11558771,4923.9917,5.103064,4.5203834,3.8844042,4.478688,4.592081,1.2186599,0.28769067,2.2464402,13.249898,0.5,3.2910547,0.10477487,1.5582814,4.685816,13.1451235,4.67368,3.3146636,4712.3037,6.571222,4.2878017,2.9848819,3.6657183,4.545351,3.58634,1.1177456,3.7599823,0.25081027,5.291018,-77.69071,2.0,13.249898,169.83485,-3.2493207,-0.2673912,12.842516,18.449852,-24.630672,5.0650887,-0.59
f73ebb5e-1eba-428a-b1f0-8b757f60f6fc,57.755768,102.061264,-97.35587,-97.35587,-0.38274002,-0.13149738,76.393684,-0.13604927,1.2272643,0.30488777,4.0519595,1281.5771,123.81548,291.41144,-1.1867332,5021.2397,6.631144,4.453077,3.052499,3.9526372,4.8431406,3.578645,1.0449592,2437.728,3.6758611,3.1826398,2.835513,3.1228316,3.2322972,0.840348,0.16734076,5062.044,5.1790295,4.5859466,4.102544,4.491781,4.6568046,1.0764856,0.24685681,0.0,0.0,0.0,1.0,0.0,4.0,12.62409,115.0,1.764606,1.9166666,2.9842079,12.471341,0.47916666,2.4163158,0.05878054,0.9536998,3.325514,12.41256,2.4018412,2.6102357,4269.574,5.9383454,4.133993,3.2034075,3.6048567,4.401603,2.734938,0.8366552,2434.701,3.6687143,3.1807408,2.8338916,3.1188266,3.2315571,0.83482265,0.16575456,1.1517922,5.6778793,0.96666664,0.8120078,0.01273532,0.25090605,0.71747106,5.665144,1.1278617,1.0693337,830.8279,2.224249,1.8569208,1.6076367,1.8367167,1.8771465,0.6166122,0.11673825,4971.586,5.122762,4.543502,4.0138636,4.4538274,4.6650524,1.1088986,0.26745895,2.955343,12.62409,0.47916666,2.9948466,0.09079918,0.816886,4.0028014,12.533291,4.2043567,3.0925162,4909.593,6.5766,4.3698535,2.9417474,3.7036521,4.9100966,3.6348526,1.1666268,3.7961411,0.4833631,5.275497,-77.87823,1.9166666,12.62409,171.04773,-2.9453657,-0.38022992,12.269796,18.433157,-24.756964,5.0503936,-4.67
e17f61e1-ecd1-4810-9e9b-56da5e54b10a,60.343403,105.896736,-103.007286,-103.007286,-0.35039902,-0.14518738,79.12124,-0.14287758,0.70232385,0.2832718,3.9504144,1599.3224,121.833374,272.09793,-1.2250214,5309.632,6.5560822,4.5781984,2.9768617,3.8514285,5.560987,3.5792205,1.0786853,2470.9824,3.6366963,3.2025478,2.7298899,3.1445398,3.257242,0.90680647,0.19861557,5102.6445,5.1598783,4.601774,3.933121,4.56873,4.7169027,1.2267573,0.2910181,0.0,0.0,0.0,1.0,0.0,4.0,12.849403,119.0,1.7198596,1.9833333,2.435082,12.873868,0.49583334,2.0577595,0.05019157,1.0129632,2.637386,12.823676,2.1456075,2.478497,4529.8325,5.887602,4.254993,3.1760209,3.67992,5.0431294,2.711581,0.87711734,2470.5962,3.6210964,3.2023442,2.724266,3.1459527,3.2635632,0.8968303,0.1978432,1.1269641,3.6961262,0.49166667,0.58141124,0.018865177,0.28993228,0.7936729,3.677261,0.115075715,0.6859139,834.7161,2.1896598,1.8600013,1.5655618,1.8475875,1.894032,0.62409806,0.13556924,5016.6943,5.096575,4.560942,3.8292906,4.535657,4.7268925,1.2672842,0.31733432,2.5472834,12.849403,0.49583334,2.6525044,0.07770408,1.383743,2.6879323,12.771699,3.9910588,2.7856047,5372.542,6.524893,4.5853596,2.947697,3.681067,5.686074,3.577196,1.1662203,3.5824971,0.3441848,5.3321166,-77.41481,1.9833333,12.849403,168.75026,-2.3628614,-0.54582596,12.618484,18.408598,-24.757565,5.0543222,-0.71
83ce7274-feb4-4cbe-a8f7-9b095238e893,55.50244,99.64019,-96.32412,-96.32412,-0.36463356,-0.2202096,75.70925,-0.15175247,1.212902,0.7395363,3.8710425,1565.7999,122.11668,289.72733,-1.2212391,4933.3403,6.552179,4.4151073,3.076633,3.744898,4.76095,3.475546,1.0307328,2408.1348,3.6252327,3.1624856,2.8049388,3.141522,3.2312624,0.8202939,0.1804989,5020.5,5.134606,4.565564,4.020186,4.555668,4.6519833,1.1144199,0.27271947,0.0,0.0,0.0,1.0,0.0,4.0,12.68345,120.0,1.671242,2.0,2.1501963,13.072636,0.50416666,2.4329464,0.12057092,1.6155531,3.8048456,12.9520645,2.1611912,2.571019,4242.067,5.9109025,4.121629,3.2273102,3.7204294,4.3309608,2.6835923,0.82912576,2402.8887,3.6044188,3.1591353,2.800137,3.1336896,3.224527,0.8042817,0.17860222,0.92186075,3.789466,0.5,0.6781474,0.03265199,0.72983783,0.93432504,3.756814,0.12656562,0.6888021,820.1554,2.1689084,1.8442147,1.5807526,1.8338976,1.8945526,0.58815575,0.1272259,4929.0005,5.085252,4.5219097,3.927181,4.4736958,4.660776,1.1580708,0.29972616,2.139689,12.68345,0.5,3.373527,0.05541464,1.5946019,4.3898644,12.628036,5.3699536,3.3651001,4797.041,6.546782,4.328938,2.9797456,3.6007645,4.730726,3.5670364,1.117125,3.7664135,0.22731355,5.2603765,-77.84664,2.0,12.68345,174.83188,-3.1117628,-0.34486768,12.290968,18.232431,-24.767937,4.902127,-4.5
9592880f-3d12-43d4-be1e-b16fdec1bb4a,80.59388,147.82689,81.91193,81.91193,0.08787918,-0.52090883,-62.047146,0.52412224,2.4266622,0.57826424,4.0689325,1487.8622,123.3513,297.66034,-1.435255,4759.7925,6.54605,4.3308887,3.1059115,3.5438352,4.5182724,3.4401386,1.0372417,2444.6572,3.6508508,3.1863475,2.8052824,3.1488214,3.2209852,0.8455684,0.18237382,5060.9233,5.163432,4.584947,4.064939,4.536367,4.6269984,1.0984931,0.25580892,0.0,0.0,0.0,1.0,0.0,4.0,13.200171,176.0,0.77837944,2.9333334,2.3516285,12.443059,0.49166667,2.2756104,0.13795482,1.1470437,3.8076165,12.305104,1.796153,2.5476458,4200.4263,5.89298,4.1055136,3.2909665,3.6572886,4.127582,2.6020136,0.80407226,2440.8591,3.6373644,3.1840365,2.806854,3.147981,3.219831,0.8305104,0.17932494,1.1234074,4.0384126,0.4875,0.57555926,0.04094143,0.22201115,0.8469873,3.997471,0.109831095,0.75632405,832.4873,2.2192643,1.8578715,1.5885284,1.8469846,1.8771118,0.6307359,0.13042471,4963.343,5.1020026,4.539174,3.9813387,4.452762,4.6164455,1.1206639,0.2765795,2.58976,13.200171,0.73333335,3.517358,0.23513715,1.6494641,5.183395,12.9650345,4.646813,3.4741995,4578.838,6.536977,4.218511,2.9361787,3.3247964,4.364861,3.6007981,1.1325431,3.7034814,0.35377297,5.1548476,-77.089584,2.9333334,13.200171,167.08481,6.1259646,0.870552,-11.660155,18.350286,-24.044321,3.9906626,-0.12
